"id";"uri";"nome";"idLegislaturaInicial";"idLegislaturaFinal";"nomeCivil";"cpf";"siglaSexo";"urlRedeSocial";"urlWebsite";"dataNascimento";"dataFalecimento";"ufNascimento";"municipioNascimento";"urlFoto";"escolaridade"
"220576";"https://dadosabertos.camara.leg.br/api/v2/deputados/220576";"Alfredo Gaspar";"57";"57";"ALFREDO GASPAR DE MENDONÇA NETO";"";"M";"https://www.instagram.com/alfredogaspar, https://www.facebook.com/alfredogasparoficial, https://twitter.com/Alfredogaspar_, https://youtube.com/AlfredoGasparOficial";"";"1970-08-13";"";"AL";"Maceió";"https://www.camara.leg.br/internet/deputado/bandep/220576.jpg";"Pós-Graduação"
"74057";"https://dadosabertos.camara.leg.br/api/v2/deputados/74057";"Alice Portugal";"52";"57";"ALICE MAZZUCO PORTUGAL";"";"F";"";"";"1959-05-16";"";"BA";"Salvador";"https://www.camara.leg.br/internet/deputado/bandep/74057.jpg";"Superior"
"178927";"https://dadosabertos.camara.leg.br/api/v2/deputados/178927";"Aliel Machado";"55";"57";"ALIEL MACHADO BARK";"";"M";"";"";"1989-02-26";"";"PR";"Ponta Grossa";"https://www.camara.leg.br/internet/deputado/bandep/178927.jpg";"Superior Incompleto"
"204353";"https://dadosabertos.camara.leg.br/api/v2/deputados/204353";"Aline Gurgel";"56";"57";"ALINE PARANHOS VARONIL GURGEL";"";"F";"https://www.facebook.com/dep.alinegurgel, https://www.instagram.com/dep_alinegurgel, https://twitter.com/https:, https://youtube.com/channel/UC7v2Ng9B1UAxhEypPw5cEag";"";"1980-11-25";"";"AP";"Macapá";"https://www.camara.leg.br/internet/deputado/bandep/204353.jpg";"Superior"
"226708";"https://dadosabertos.camara.leg.br/api/v2/deputados/226708";"Allan Garcês";"57";"57";"ALLAN QUADROS GARCÊS";"";"M";"https://twitter.com/AllanGarcs1, https://www.facebook.com/allangarcesoficial, https://www.facebook.com/AllanGarcês, https://www.instagram.com/allan.garces, https://youtube.com/channel/UCarcImE3nnhmisi8RRbdm-w";"";"1969-08-30";"";"PA";"Belém";"https://www.camara.leg.br/internet/deputado/bandep/226708.jpg";"Superior"
"178937";"https://dadosabertos.camara.leg.br/api/v2/deputados/178937";"Altineu Côrtes";"55";"57";"ALTINEU CÔRTES FREITAS COUTINHO";"";"M";"https://www.instagram.com/altineucortesrj, https://www.facebook.com/altineucortesrj, https://twitter.com/altineu";"";"1968-09-13";"";"RJ";"Niterói";"https://www.camara.leg.br/internet/deputado/bandep/178937.jpg";"Superior"
"178881";"https://dadosabertos.camara.leg.br/api/v2/deputados/178881";"Aluisio Mendes";"55";"57";"ALUISIO GUIMARAES MENDES FILHO";"";"M";"https://twitter.com/aluisiomendesma, https://www.facebook.com/aluisiomendesma, https://www.instagram.com/aluisiomendesma, https://youtube.com/aluisiomendesma";"";"1961-11-11";"";"MG";"Belo Horizonte";"https://www.camara.leg.br/internet/deputado/bandep/178881.jpg";"Superior"
"220596";"https://dadosabertos.camara.leg.br/api/v2/deputados/220596";"Amália Barros";"57";"57";"AMÁLIA SCUDELER DE BARROS SANTOS";"";"F";"https://www.facebook.com/amaliasbarros, https://www.instagram.com/amaliabarros, https://twitter.com/amaliabarros, https://youtube.com/amaliabarros";"";"1985-03-22";"2024-05-12";"SP";"Moji-Mirim";"https://www.camara.leg.br/internet/deputado/bandep/220596.jpg";"Superior"
"220707";"https://dadosabertos.camara.leg.br/api/v2/deputados/220707";"Amanda Gentil";"57";"57";"AMANDA KELLY GENTIL GUIMARÃES ROSA";"";"F";"https://twitter.com/amandagentiI, https://www.instagram.com/amandagentill";"";"1998-12-25";"";"MA";"Caxias";"https://www.camara.leg.br/internet/deputado/bandep/220707.jpg";"Superior"
"204356";"https://dadosabertos.camara.leg.br/api/v2/deputados/204356";"Amaro Neto";"56";"57";"AMARO ROCHA NASCIMENTO NETO";"";"M";"https://twitter.com/amaronetotv, https://www.facebook.com/amaronetotv, https://www.instagram.com/amaronetotv";"https://www.amaroneto.com.br/";"1976-12-04";"";"ES";"Vitória";"https://www.camara.leg.br/internet/deputado/bandep/204356.jpg";"Pós-Graduação"
"220715";"https://dadosabertos.camara.leg.br/api/v2/deputados/220715";"Amom Mandel";"57";"57";"AMOM MANDEL LINS FILHO";"";"M";"https://twitter.com/eusouamom, https://www.instagram.com/eusouamom, https://www.facebook.com/eusouamom, https://youtube.com/channel/UCwPEeCb9CuIqhqpUoGvGpvA";"";"2001-01-02";"";"PE";"Recife";"https://www.camara.leg.br/internet/deputado/bandep/220715.jpg";"Mestrado Incompleto"
"107970";"https://dadosabertos.camara.leg.br/api/v2/deputados/107970";"Ana Paula Leão";"57";"57";"ANA PAULA PROCOPIO JUNQUEIRA";"";"F";"https://www.facebook.com/AnaPaulaJunqueiraLeao, https://www.instagram.com/anapaulajunqueiraleao, https://twitter.com/apjunqueira, https://youtube.com/channel/UC-DlAUSQo11ZjK_yhbXoTgQ";"";"1965-08-22";"";"MG";"Varginha";"https://www.camara.leg.br/internet/deputado/bandep/107970.jpg";"Superior"
"220556";"https://dadosabertos.camara.leg.br/api/v2/deputados/220556";"Ana Paula Lima";"57";"57";"ANA PAULA DE SOUZA LIMA";"";"F";"https://www.instagram.com/anapaulalimapt, https://www.facebook.com/anapaulalima.pt13, https://twitter.com/anapaulalimapt, https://youtube.com/channel/UC271rCNzTprXed1zDwykMaw";"";"1964-04-19";"";"PR";"Curitiba";"https://www.camara.leg.br/internet/deputado/bandep/220556.jpg";"Superior"
"220632";"https://dadosabertos.camara.leg.br/api/v2/deputados/220632";"Ana Pimentel";"57";"57";"ANA CRISTINA DE LIMA PIMENTEL";"";"F";"";"";"1982-05-15";"";"MG";"Congonhas";"https://www.camara.leg.br/internet/deputado/bandep/220632.jpg";"Doutorado"
"178831";"https://dadosabertos.camara.leg.br/api/v2/deputados/178831";"André Abdon";"55";"57";"ANDRE DOS SANTOS ABDON";"";"M";"https://www.instagram.com/andreabdon_";"";"1970-11-10";"";"PA";"Belém";"https://www.camara.leg.br/internet/deputado/bandep/178831.jpg";"Superior"
"220657";"https://dadosabertos.camara.leg.br/api/v2/deputados/220657";"André Fernandes";"57";"57";"ANDRÉ FERNANDES DE MOURA";"";"M";"https://www.instagram.com/andrefernandes, https://www.facebook.com/andrefernm, https://twitter.com/andrefernm, https://youtube.com/depandrefernandes";"";"1997-12-10";"";"CE";"Iguatu";"https://www.camara.leg.br/internet/deputado/bandep/220657.jpg";"Pós-Graduação"
"204423";"https://dadosabertos.camara.leg.br/api/v2/deputados/204423";"André Ferreira";"56";"57";"ANDRÉ FERREIRA RODRIGUES";"";"M";"https://www.instagram.com/andreferreira.pe, https://www.facebook.com/andreferreira.pe, https://youtube.com/channel/UC54XdbWXP1ZaimNu9Ujuvgw";"";"1972-12-10";"";"PE";"Recife";"https://www.camara.leg.br/internet/deputado/bandep/204423.jpg";"Superior"
"133439";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"André Figueiredo";"52";"57";"ANDRÉ PEIXOTO FIGUEIREDO LIMA";"";"M";"https://www.facebook.com/DeputadoAndreFigueiredo, https://twitter.com/andrepdt12";"";"1966-11-10";"";"CE";"Fortaleza";"https://www.camara.leg.br/internet/deputado/bandep/133439.jpg";"Pós-Graduação"
"178882";"https://dadosabertos.camara.leg.br/api/v2/deputados/178882";"André Fufuca";"55";"57";"ANDRE LUIZ CARVALHO RIBEIRO";"";"M";"";"";"1989-08-27";"";"MA";"Santa Inês";"https://www.camara.leg.br/internet/deputado/bandep/178882.jpg";"Superior"
"204515";"https://dadosabertos.camara.leg.br/api/v2/deputados/204515";"André Janones";"56";"57";"ANDRE LUIS GASPAR JANONES";"";"M";"https://www.instagram.com/andrejanones, https://www.facebook.com/andrejanones, https://youtube.com/AndreJanonesAdv, https://twitter.com/AndreJanonesAdv";"";"1984-05-05";"";"MG";"Ituiutaba";"https://www.camara.leg.br/internet/deputado/bandep/204515.jpg";"Superior"
"220676";"https://dadosabertos.camara.leg.br/api/v2/deputados/220676";"Andreia Siqueira";"57";"57";"ANDREIA BRITO GONÇALVES SIQUEIRA";"";"F";"https://www.instagram.com/andreiasiqueira, https://www.facebook.com/andreiabsiqueira, https://twitter.com/deputadaandreia";"";"1992-08-19";"";"PA";"Tucuruí";"https://www.camara.leg.br/internet/deputado/bandep/220676.jpg";"Superior"
"123756";"https://dadosabertos.camara.leg.br/api/v2/deputados/123756";"Antônia Lúcia";"54";"57";"ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA";"";"F";"";"";"1970-07-17";"";"AC";"Senador Guiomard";"https://www.camara.leg.br/internet/deputado/bandep/123756.jpg";"Superior"
"220544";"https://dadosabertos.camara.leg.br/api/v2/deputados/220544";"Antonio Andrade";"57";"57";"ANTONIO POINCARE ANDRADE FILHO";"";"M";"https://www.facebook.com/toinhoandradetocantins, https://twitter.com/antonioandradet, https://www.instagram.com/toinhoandradeto";"";"1958-10-22";"";"TO";"Porto Nacional";"https://www.camara.leg.br/internet/deputado/bandep/220544.jpg";"Superior"
"160553";"https://dadosabertos.camara.leg.br/api/v2/deputados/160553";"Antonio Brito";"54";"57";"ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO";"";"M";"https://www.instagram.com/antoniobritobahia/";"";"1969-01-17";"";"BA";"Salvador";"https://www.camara.leg.br/internet/deputado/bandep/160553.jpg";"Superior"
"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"Antonio Carlos Rodrigues";"57";"57";"ANTONIO CARLOS RODRIGUES";"";"M";"";"";"1950-05-17";"";"SP";"São Paulo";"https://www.camara.leg.br/internet/deputado/bandep/220638.jpg";"Pós-Graduação"
"220675";"https://dadosabertos.camara.leg.br/api/v2/deputados/220675";"Antônio Doido";"57";"57";"ANTONIO LEOCÁDIO DOS SANTOS";"";"M";"";"";"1976-08-26";"";"BA";"Dom Macedo Costa";"https://www.camara.leg.br/internet/deputado/bandep/220675.jpg";"Superior"
"220549";"https://dadosabertos.camara.leg.br/api/v2/deputados/220549";"Any Ortiz";"57";"57";"ANY MACHADO ORTIZ";"";"F";"";"";"1983-10-19";"";"RS";"Canoas";"https://www.camara.leg.br/internet/deputado/bandep/220549.jpg";"Pós-Graduação"
"73433";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"Arlindo Chinaglia";"50";"57";"ARLINDO CHIGNALIA JUNIOR";"";"M";"https://www.facebook.com/depchinaglia, https://twitter.com/achinaglia, https://www.instagram.com/depchinaglia";"";"1949-12-24";"";"SP";"Serra Azul";"https://www.camara.leg.br/internet/deputado/bandep/73433.jpg";"Pós-Graduação"
"141391";"https://dadosabertos.camara.leg.br/api/v2/deputados/141391";"Arnaldo Jardim";"53";"57";"ARNALDO CALIL PEREIRA JARDIM";"";"M";"https://twitter.com/arnaldojardim, https://www.facebook.com/deputadoarnaldojardim, https://www.instagram.com/arnaldojardimoficial, https://youtube.com/channel/UCBmGmOqIcw_Dob8eq3VtjZQ";"";"1955-05-08";"";"SP";"Altinópolis";"https://www.camara.leg.br/internet/deputado/bandep/141391.jpg";"Superior"
"160541";"https://dadosabertos.camara.leg.br/api/v2/deputados/160541";"Arthur Lira";"54";"57";"ARTHUR CÉSAR PEREIRA DE LIRA";"";"M";"";"";"1969-06-25";"";"AL";"Maceió";"https://www.camara.leg.br/internet/deputado/bandep/160541.jpg";"Superior"
"160600";"https://dadosabertos.camara.leg.br/api/v2/deputados/160600";"Arthur Oliveira Maia";"54";"57";"ARTHUR DE OLIVEIRA MAIA DA SILVA";"";"M";"https://facebook.com/arthur.oliveiramaia, https://instagram.com/departhuroliveiramaia, https://twitter.com/DepArthurMaia";"";"1964-08-17";"";"BA";"Salvador";"https://www.camara.leg.br/internet/deputado/bandep/160600.jpg";"Mestrado"
"74090";"https://dadosabertos.camara.leg.br/api/v2/deputados/74090";"Átila Lins";"49";"57";"ÁTILA SIDNEY LINS DE ALBUQUERQUE";"";"M";"";"";"1950-11-22";"";"AM";"Fonte Boa";"https://www.camara.leg.br/internet/deputado/bandep/74090.jpg";"Superior"
"123086";"https://dadosabertos.camara.leg.br/api/v2/deputados/123086";"Átila Lira";"57";"57";"ÁTILA DE MELO LIRA";"";"M";"https://twitter.com/atilaliraof, https://www.facebook.com/atilalirapi, https://www.instagram.com/atilalirapi/#";"";"1980-04-01";"";"PI";"Teresina";"https://www.camara.leg.br/internet/deputado/bandep/123086.jpg";"Superior"
"160665";"https://dadosabertos.camara.leg.br/api/v2/deputados/160665";"Augusto Coutinho";"54";"57";"AUGUSTO RODRIGUES COUTINHO DE MELO";"";"M";"https://twitter.com/dep_acoutinho, https://www.facebook.com/augusto.coutinho, https://www.instagram.com/augustocoutinhope, https://youtube.com/featured";"www.augustocoutinho.com.br";"1962-10-22";"";"PE";"Recife";"https://www.camara.leg.br/internet/deputado/bandep/160665.jpg";"Superior"
"220577";"https://dadosabertos.camara.leg.br/api/v2/deputados/220577";"Augusto Puppio";"57";"57";"JOSÉ AUGUSTO PUPPIO REIS JÚNIOR";"";"M";"https://www.facebook.com/augustopupio, https://www.instagram.com/augustopupio, https://twitter.com/AUGUSTOPUPIO, https://youtube.com/augustopupio7945";"";"1982-05-09";"";"PA";"Belém";"https://www.camara.leg.br/internet/deputado/bandep/220577.jpg";""
"160512";"https://dadosabertos.camara.leg.br/api/v2/deputados/160512";"Aureo Ribeiro";"54";"57";"AUREO LIDIO MOREIRA RIBEIRO";"";"M";"https://www.facebook.com/AureoRibeiroRJ, https://www.instagram.com/aureo.ribeiro, https://twitter.com/AureoRibeiroRJ, https://youtube.com/AureoRibeiro77";"www.deputadoaureo.com.br";"1979-02-17";"";"RJ";"Duque de Caxias";"https://www.camara.leg.br/internet/deputado/bandep/160512.jpg";"Superior Incompleto"
"69871";"https://dadosabertos.camara.leg.br/api/v2/deputados/69871";"Bacelar";"55";"57";"JOAO CARLOS BACELAR BATISTA";"";"M";"https://www.facebook.com/DEPUTADOBACELAR, https://www.instagram.com/DEPUTADOBACELAR, https://twitter.com/DEPUTADOBACELAR";"";"1957-07-09";"";"BA";"Esplanada";"https://www.camara.leg.br/internet/deputado/bandep/69871.jpg";"Pós-Graduação"
"178975";"https://dadosabertos.camara.leg.br/api/v2/deputados/178975";"Baleia Rossi";"55";"57";"LUIZ FELIPE BALEIA TENUTO ROSSI";"";"M";"https://www.instagram.com/baleia.rossi";"";"1972-06-09";"";"SP";"São Paulo";"https://www.camara.leg.br/internet/deputado/bandep/178975.jpg";"Superior"
"220605";"https://dadosabertos.camara.leg.br/api/v2/deputados/220605";"Bandeira de Mello";"57";"57";"EDUARDO CARVALHO BANDEIRA DE MELLO";"";"M";"https://www.instagram.com/eduardobandeirademello, https://www.facebook.com/eduardobandeirademello, https://twitter.com/mello_bandeira, https://youtube.com/bandeirademello.oficial";"";"1953-03-22";"";"RJ";"Rio de Janeiro";"https://www.camara.leg.br/internet/deputado/bandep/220605.jpg";"Superior"
"220612";"https://dadosabertos.camara.leg.br/api/v2/deputados/220612";"Bebeto";"57";"57";"Carlos Roberto Rodrigues";"";"M";"https://www.facebook.com/bebetodaveggi, https://www.instagram.com/bebetorj";"";"1963-07-31";"";"MG";"Muriaé";"https://www.camara.leg.br/internet/deputado/bandep/220612.jpg";"Ensino Médio"
"73701";"https://dadosabertos.camara.leg.br/api/v2/deputados/73701";"Benedita da Silva";"48";"57";"BENEDITA SOUZA DA SILVA SAMPAIO";"";"F";"";"";"1942-04-26";"";"RJ";"Rio de Janeiro";"https://www.camara.leg.br/internet/deputado/bandep/73701.jpg";"Superior"
"109429";"https://dadosabertos.camara.leg.br/api/v2/deputados/109429";"Benes Leocádio";"56";"57";"LUIZ BENES LEOCADIO DE ARAUJO";"";"M";"https://www.instagram.com/benesleocadiorn, https://twitter.com/benesleocadiorn, https://www.facebook.com/BenesLeocadioRN";"";"1966-04-22";"";"RN";"Santana do Matos";"https://www.camara.leg.br/internet/deputado/bandep/109429.jpg";"Superior"
"204358";"https://dadosabertos.camara.leg.br/api/v2/deputados/204358";"Beto Pereira";"56";"57";"HUMBERTO REZENDE PEREIRA";"";"M";"";"";"1977-11-14";"";"MS";"Campo Grande";"https://www.camara.leg.br/internet/deputado/bandep/204358.jpg";"Superior"
"220698";"https://dadosabertos.camara.leg.br/api/v2/deputados/220698";"Beto Preto";"57";"57";"CARLOS ALBERTO GEBRIM PRETO";"";"M";"https://www.facebook.com/betopretoparana, https://www.instagram.com/betopretoparana, https://twitter.com/betopretoparana, https://youtube.com/channel/UCBdkUghXHjx9cOc-RAm0cUg";"";"1968-02-17";"";"PR";"Londrina";"https://www.camara.leg.br/internet/deputado/bandep/220698.jpg";"Pós-Graduação"
"220683";"https://dadosabertos.camara.leg.br/api/v2/deputados/220683";"Beto Richa";"57";"57";"CARLOS ALBERTO RICHA";"";"M";"https://www.instagram.com/betoricha/, https://pt-br.facebook.com/BetoRichaOficial, https://twitter.com/BetoRicha, https://www.youtube.com/channel/UC11K_Oia5ib5Zknm87oG1FQ";"";"1965-07-29";"";"PR";"Londrina";"https://www.camara.leg.br/internet/deputado/bandep/220683.jpg";"Superior"
"204374";"https://dadosabertos.camara.leg.br/api/v2/deputados/204374";"Bia Kicis";"56";"57";"BEATRIZ KICIS TORRENTS DE SORDI";"";"F";"https://www.facebook.com/biakicis, https://www.instagram.com/biakicis, https://twitter.com/biakicis, https://youtube.com/biakicis";"";"1961-09-19";"";"RJ";"Resende";"https://www.camara.leg.br/internet/deputado/bandep/204374.jpg";"Superior"
"204388";"https://dadosabertos.camara.leg.br/api/v2/deputados/204388";"Bibo Nunes";"56";"57";"ALCIBIO MESQUITA BIBO NUNES";"";"M";"";"";"1957-01-09";"";"RS";"Cruz Alta";"https://www.camara.leg.br/internet/deputado/bandep/204388.jpg";"Superior Incompleto"
"160538";"https://dadosabertos.camara.leg.br/api/v2/deputados/160538";"Bohn Gass";"54";"57";"ELVINO JOSÉ BOHN GASS";"";"M";"https://twitter.com/BohnGass, https://www.facebook.com/bohngass13, https://www.instagram.com/bohn_gass, https://youtube.com/channel/UC8LeZcF8VFnSRHcAW9-lvwg";"";"1962-02-05";"";"RS";"Santo Cristo";"https://www.camara.leg.br/internet/deputado/bandep/160538.jpg";"Pós-Graduação"
"74052";"https://dadosabertos.camara.leg.br/api/v2/deputados/74052";"Bosco Costa";"52";"57";"JOÃO BOSCO DA COSTA";"";"M";"";"";"1950-09-28";"";"SE";"Itabaiana";"https://www.camara.leg.br/internet/deputado/bandep/74052.jpg";"Superior Incompleto"
